회사명,종목코드,상장일,총자산(요약재무),부채(요약재무),자본금(요약재무),매출액(영업수익),영업이익,당기순이익(포괄손익계산서),영업활동으로인한현금흐름,부채비율(표준재무),ROA(표준재무),ROE(표준재무),EBITDA마진율(표준재무),자기자본비율(표준재무),공모가 (원),공모금액 (천원),Unnamed: 17,총차입금/EBITDA(표준재무),총자산증가율(표준재무),유동자산증가율(표준재무),당좌자산증가율(표준재무),자기자본증가율(표준재무),매출액(영업수익)증가율(표준재무),영업이익증가율(보고서기재)(표준재무),EBITDA증가율(표준재무),순이익증가율(표준재무),순이익률(표준재무),유동비율(표준재무),현금비율(표준재무),유동부채비율(표준재무),이자보상배율(표준재무),재고자산회전율(표준재무),총자산회전율(표준재무),상장유형,증권구분,업종,상장주선인/,최초상장주식수 (주),상장일 시초가,상장일 종가
넥스틸,92790,2023-08-21,581182144.0,303486750.0,5488000.0,668403650.0,181430007.0,135928573.0,222870107.0,109.29,27.13,71.38,28.6,47.78,11500,80500000,,0.38,38.05,45.67,104.51,169.12,57.49,979.04,671.62,5840.27,20.34,123.49,45.47,83.29,37.03,5.84,1.33,신규상장,주권,1차 철강 제조업,하나증권주식회사,26002000,11990.0,10740.0
코츠테크놀로지,448710,2023-08-10,34308894.0,18226265.0,405179.0,41835502.0,2785575.0,2296576.0,703435.0,113.33,7.06,14.22,8.01,46.88,13000,13000000,,1.25,11.7,13.13,-28.68,-0.85,31.15,3.52,1.7,1.07,5.49,168.9,40.26,107.58,25.05,2.46,1.29,신규상장,주권,컴퓨터 및 주변장치 제조업,한국투자증권(주),5081792,25000.0,20400.0
큐리옥스바이오시스템즈,445680,2023-08-10,53994966.0,1308567.0,3284484.0,3975267.0,-6358032.0,-6321830.0,-8723605.0,2.48,-11.17,-19.58,-154.35,97.58,13000,18200000,,-0.04,-8.84,-40.4,-45.14,343.06,38.21,44.34,41.57,적축,-159.03,1080.3,504.79,2.41,-2.3,4.14,0.07,신규상장,주권,의료용 기기 제조업,키움증권(주),8010968,,
파두,440110,2023-08-07,68129165.0,27028510.0,4119626.0,56403663.0,4895633.0,-227521187.0,-3270337.0,65.76,-478.94,380.55,18.64,60.33,31000,193750000,,1.8,153.45,109.0,93.01,-125.58,993.77,-115.17,-136.2,적확,-403.38,636.89,178.99,12.83,0.78,8.14,1.19,신규상장,주권,반도체 제조업,"한국투자증권(주),엔에이치투자증권(주)",48052977,26300.0,27600.0
엠아이큐브솔루션,373170,2023-08-04,11354307.0,6175003.0,358500.0,22295174.0,2826779.0,2789878.0,2239669.0,119.22,28.96,74.09,14.86,45.62,12000,14520000,,0.48,43.49,39.31,31.28,120.19,30.84,644.42,293.87,459.12,12.51,187.04,99.55,101.94,45.82,1270.53,2.31,신규상장,주권,소프트웨어 개발 및 공급업,한국투자증권(주),4831300,36900.0,26700.0
시지트로닉스,429270,2023-08-03,25421802.0,13593622.0,1789625.0,14521214.0,-4846781.0,-4369020.0,-1172215.0,114.93,-15.49,-31.52,-21.02,46.53,25000,22500000,,-3.27,-17.94,-37.76,-57.36,-25.57,-6.28,14.48,8.34,적축,-30.09,123.42,20.5,67.02,-15.34,2.7,0.51,신규상장,주권,반도체 제조업,유안타증권(주),4506250,26350.0,23100.0
에이엘티,172670,2023-07-27,182671887.0,114068240.0,3781336.0,38227392.0,8430344.0,14783502.0,15463434.0,166.27,10.07,24.0,54.84,37.56,25000,22500000,,3.51,64.67,59.43,64.54,25.7,20.61,101.43,30.78,199.20,38.67,18.21,3.4,90.77,3.79,223.73,0.26,신규상장,주권,반도체 제조업,미래에셋증권 주식회사,8489671,31600.0,22550.0
파로스아이바이오,388870,2023-07-27,18313817.0,648552.0,5738481.0,300000.0,-8876356.0,-20236985.0,-7188849.0,3.67,-82.75,133.57,-2768.04,96.46,14000,19600000,,-0.04,-40.15,-37.17,-37.17,-136.83,426.32,29.26,27.32,적축,-6745.66,2697.22,2591.16,3.08,-2.76,,0.01,신규상장,주권,자연과학 및 공학 연구개발업,한국투자증권(주),12918962,12330.0,8730.0
버넥트,438700,2023-07-26,38691685.0,14573866.0,342000.0,5056494.0,-14245372.0,-8576766.0,-10792809.0,60.43,-19.72,-69.85,-257.61,62.33,16000,30720000,,-0.61,-19.89,-65.87,-66.03,5394.28,41.68,205.68,205.44,적축,-169.62,150.26,123.57,30.51,-7.27,137.37,0.12,신규상장,주권,소프트웨어 개발 및 공급업,대신증권(주),10869600,23600.0,11700.0
뷰티스킨,406820,2023-07-24,64528718.0,30683567.0,1540420.0,54771011.0,5519338.0,4779593.0,3057175.0,90.66,7.21,15.19,12.14,52.45,26000,11440000,,3.89,-5.16,-3.47,25.76,16.44,33.06,91.23,89.9,121.71,8.73,86.58,26.01,79.55,5.44,7.61,0.83,신규상장,주권,기타 화학제품 제조업,DB증권주식회사,3534040,54500.0,32600.0
와이랩,432430,2023-07-20,19501748.0,7898181.0,6370677.0,27047166.0,-690099.0,-322213.0,728242.0,68.07,-1.47,-2.88,0.1,59.5,9000,27000000,,30.96,-19.74,-25.64,-38.46,7.5,28.47,-27.16,-107.6,적전,-1.19,205.31,111.31,60.63,-7.83,866.22,1.24,신규상장,주권,"영화, 비디오물, 방송프로그램 제작 및 배급업",한국투자증권(주),15831354,35300.0,30600.0
센서뷰,321370,2023-07-19,27263730.0,12108083.0,10960455.0,5639122.0,-14483093.0,-11893630.0,-10845653.0,79.89,-38.78,1004.72,-217.42,55.59,4500,17550000,,-0.8,-19.99,-46.08,-44.21,-186.49,47.26,51.48,55.86,적축,-210.91,165.86,99.88,39.03,-6.5,3.28,0.18,신규상장,주권,절연선 및 케이블 제조업,삼성증권(주),25937910,12700.0,6830.0
필에너지,378340,2023-07-14,140312697.0,115618740.0,3750000.0,189709754.0,16842728.0,3768226.0,-20934713.0,468.21,3.18,16.7,9.7,17.6,34000,95625000,,2.9,45.05,36.04,-57.67,20.85,14.87,126.79,118.78,-34.84,1.99,151.59,11.03,320.09,9.93,3.52,1.6,신규상장,주권,특수 목적용 기계 제조업,미래에셋증권 주식회사,9404412,122600.0,114600.0
이노시뮬레이션,274400,2023-07-06,43192904.0,28217426.0,3446413.0,16423966.0,-1793928.0,-3864648.0,-5731486.0,188.42,-8.86,-34.76,-2.46,34.67,15000,13500000,,-46.72,-1.94,24.77,54.29,106.23,18.44,681.94,-133.39,적확,-23.53,56.18,10.97,100.79,-2.36,5.81,0.38,신규상장,주권,소프트웨어 개발 및 공급업,하나증권주식회사,7819826,44850.0,35000.0
오픈놀,440320,2023-06-30,30549748.0,9400428.0,840429.0,16267965.0,685180.0,-560634.0,-382766.0,44.45,-2.34,-4.57,6.28,69.23,10000,16500000,,7.01,75.17,111.48,111.48,528.27,49.71,195.46,120.23,적전,-3.45,315.15,270.46,32.29,0.82,,0.68,신규상장,주권,소프트웨어 개발 및 공급업,하나증권주식회사,9687820,13000.0,15750.0
알멕,354320,2023-06-30,198178598.0,121740957.0,2473190.0,176909481.0,17384799.0,10795588.0,-13145096.0,159.27,6.8,18.47,11.29,38.57,50000,50000000,,3.71,66.17,129.9,195.96,88.81,111.48,-387.13,-956.57,흑전,6.1,146.66,49.85,114.12,5.18,8.09,1.11,신규상장,주권,1차 비철금속 제조업,엔에이치투자증권(주),5966381,145400.0,99500.0
큐라티스,348080,2023-06-15,64898439.0,91738900.0,11635956.0,7524174.0,-23289128.0,-37215747.0,-13232520.0,-341.79,-50.71,403.62,-239.29,-41.36,4000,14000000,,-1.38,-20.73,-55.93,-74.07,-419.54,373.65,37.14,28.63,적확,-494.62,28.48,0.86,-144.05,-9.45,3.21,0.1,신규상장,주권,자연과학 및 공학 연구개발업,"대신증권(주),신영증권(주)",26876911,4500.0,5850.0
마녀공장,439090,2023-06-08,62953426.0,10585474.0,1431826.0,102174563.0,24764443.0,17514712.0,14716500.0,20.21,33.6,41.15,24.98,83.19,16000,32000000,,0.02,52.48,53.84,45.0,59.89,63.16,39.85,39.08,23.63,17.14,573.54,381.29,19.5,763.98,9.62,1.96,신규상장,주권,기타 화학제품 제조업,한국투자증권(주),16378260,32000.0,41600.0
나라셀라,405920,2023-06-02,121540091.0,72277513.0,25815190.0,107162502.0,12251475.0,8944026.0,4269466.0,146.72,8.38,25.76,13.45,40.53,20000,29000000,,3.22,32.33,12.89,12.09,144.25,21.23,-4.38,1.43,-0.95,8.35,197.93,18.95,76.29,7.02,3.03,1.0,신규상장,주권,음·식료품 및 담배 도매업,신영증권(주),6439038,19500.0,17500.0
진영,285800,2023-06-01,47507439.0,26084637.0,1272807.0,48111618.0,6448571.0,5122213.0,824547.0,121.76,11.96,27.69,15.18,45.09,5000,21250000,,2.88,24.42,-13.74,-33.32,37.54,-18.82,-8.41,-5.28,-12.52,10.65,102.37,16.33,65.74,11.24,10.55,1.12,신규상장,주권,플라스틱제품 제조업,iM증권,17105570,10000.0,8680.0
기가비스,420770,2023-05-24,141452986.0,41091535.0,2121000.0,99727657.0,33825686.0,27750571.0,35830017.0,40.94,25.87,34.15,34.53,70.95,43000,95385094,,0.0,93.6,107.73,133.85,61.47,126.79,111.7,108.09,94.55,27.83,321.92,179.46,38.05,253.55,5.62,0.93,신규상장,주권,특수 목적용 기계 제조업,삼성증권(주),12675758,71200.0,79000.0
씨유박스,340810,2023-05-19,37181566.0,33111163.0,4210816.0,16807020.0,-6337998.0,-8299243.0,-828124.0,813.46,-22.47,-130.25,-25.68,10.95,15000,22500000,,-4.04,1.34,0.49,-0.03,-53.07,36.94,38.0,13.5,적확,-49.38,75.14,68.37,767.9,-3.04,110.05,0.46,신규상장,주권,소프트웨어 개발 및 공급업,"신한투자증권 주식회사,SK증권(주)",9966633,15680.0,13920.0
모니터랩,434480,2023-05-19,21131840.0,7368972.0,972885.0,14032074.0,1646460.0,718991.0,2003602.0,53.54,4.73,8.88,15.22,65.13,9800,19600000,,0.18,128.21,225.86,313.57,467.52,16.8,-20.3,-14.03,-66.31,5.12,671.42,478.14,17.99,4.76,14.34,0.92,신규상장,주권,소프트웨어 개발 및 공급업,미래에셋증권 주식회사,11788850,19600.0,14200.0
트루엔,417790,2023-05-17,55089636.0,3985102.0,842465.0,38831801.0,9009324.0,7633487.0,8572677.0,7.8,14.74,16.23,24.78,92.77,12000,30000000,,0.03,13.68,15.82,-1.29,18.96,7.93,-8.25,-7.43,-10.40,19.66,1157.1,400.67,7.33,777.74,6.97,0.75,신규상장,주권,영상 및 음향기기 제조업,미래에셋증권 주식회사,10999650,19340.0,17200.0
에스바이오메딕스,304360,2023-05-04,8855320.0,12419981.0,5109888.0,361312.0,-6536886.0,-7672593.0,-4949238.0,-348.42,-64.65,-3360.25,-1594.08,-40.25,18000,13500000,,-0.91,-40.49,-49.32,-49.45,-188.64,134.27,3.89,5.45,적확,-2123.54,63.01,56.29,-241.76,-14.08,7.32,0.03,신규상장,주권,의약품 제조업,미래에셋증권 주식회사,10992276,23150.0,18830.0
마이크로투나노,424980,2023-04-26,45199526.0,25269528.0,2444445.0,31706907.0,4892916.0,4208390.0,3712707.0,126.79,10.29,24.03,22.76,44.09,15500,15500000,,2.02,23.48,62.41,176.54,32.05,32.69,304.56,122.15,152.87,13.27,331.48,175.29,37.05,22.1,6.82,0.78,신규상장,주권,반도체 제조업,한국투자증권(주),5918890,25200.0,20650.0
지아이이노베이션,358570,2023-03-30,179867586.0,9436772.0,9986416.0,5600000.0,-30632086.0,-150741996.0,-26577491.0,5.54,-125.99,-519.17,-508.67,94.75,13000,26000000,,-0.15,202.67,741.48,778.31,-251.68,-49.17,33.91,31.29,적확,-2691.82,2559.77,2256.5,3.08,-108.78,,0.05,신규상장,주권,자연과학 및 공학 연구개발업,"엔에이치투자증권(주),하나증권주식회사,삼성증권(주)",22004200,18950.0,20250.0
LB인베스트먼트,309960,2023-03-29,105463338.0,14881631.0,20000000.0,49373069.0,31063098.0,24584115.0,9381967.0,16.43,27.54,,,85.89,5100,23552040,,,44.28,,,37.22,,107.78,,109.25,,,,,,,0.55,신규상장,주권,기타 금융업,미래에셋증권 주식회사,23217239,6500.0,8450.0
금양그린파워,282720,2023-03-13,88036238.0,39242851.0,4510980.0,152025509.0,5747650.0,3865661.0,3700917.0,80.43,4.4,9.16,4.57,55.42,10000,30073200,,2.15,0.41,0.91,19.72,37.04,2.94,22.4,13.93,152.24,2.54,210.1,40.29,73.94,3.78,,1.73,신규상장,주권,전기 및 통신 공사업,삼성증권(주),12119500,19000.0,16200.0
자람테크놀로지,389020,2023-03-07,20315296.0,2099875.0,987305.0,14324068.0,291925.0,1170415.0,-2280691.0,11.53,6.13,7.97,5.16,89.66,22000,20460000,,0.51,13.63,13.66,-2.46,63.27,24.26,253.55,62.67,263.78,8.17,819.4,67.53,10.24,3.79,2.79,0.75,신규상장,주권,반도체 제조업,신영증권(주),6197730,44000.0,42700.0
나노팀,417010,2023-03-03,35579597.0,24556770.0,446896.0,27043760.0,4469633.0,4521428.0,2946888.0,222.78,16.45,148.81,19.92,30.98,13000,26650000,,3.22,83.37,82.6,62.27,-322.87,86.03,103.16,91.63,흑전,16.72,124.94,25.12,87.86,10.85,15.82,0.98,신규상장,주권,일반 목적용 기계 제조업,한국투자증권(주),19154328,26000.0,29800.0
바이오인프라,199730,2023-03-02,33739564.0,22877457.0,687894.0,30555327.0,7462613.0,6234085.0,6563408.0,210.62,24.36,82.11,28.28,32.19,21000,13650000,,1.74,93.37,143.06,147.18,151.34,55.82,105.88,89.28,48.75,20.4,206.16,59.91,102.69,33.44,,1.19,신규상장,주권,자연과학 및 공학 연구개발업,DB증권주식회사,4796867,42000.0,29400.0
제이오,418550,2023-02-16,87756657.0,60751548.0,2327260.0,78702797.0,-3935327.0,-14605084.0,196028.0,224.96,-20.89,-65.97,-3.14,30.77,13000,52000000,,-7.25,68.5,111.08,157.82,56.35,66.95,-368.14,-199.06,적전,-18.56,273.88,167.71,77.13,-3.73,132.1,1.13,신규상장,주권,"건축기술, 엔지니어링 및 관련 기술 서비스업",한국투자증권(주),31336273,19900.0,21500.0
샌즈랩,411080,2023-02-15,7998683.0,3130592.0,1200000.0,5413847.0,488759.0,733713.0,1163616.0,64.31,10.86,16.3,11.56,60.86,10500,38850000,,0.24,44.99,91.48,91.48,17.75,3.18,-625.79,-12454.34,흑전,13.55,226.68,172.42,63.03,214.84,,0.8,신규상장,주권,소프트웨어 개발 및 공급업,키움증권(주),15095238,21000.0,24900.0
꿈비,407400,2023-02-09,11534417.0,6045550.0,612893.0,20850821.0,2397684.0,1808477.0,1953765.0,110.14,17.41,42.57,14.75,47.59,5000,10000000,,1.41,24.76,32.73,34.91,82.55,12.71,14.81,15.94,-10.51,8.67,143.45,56.79,68.44,23.89,11.28,2.01,신규상장,주권,가구 제조업,키움증권(주),7938930,10000.0,13000.0
스튜디오미르,408900,2023-02-07,20704316.0,10189707.0,400000.0,14389619.0,-1317604.0,2119219.0,-2372040.0,96.91,10.5,22.67,-5.53,50.78,19500,19500000,,-1.68,5.26,72.19,83.22,28.49,-15.39,-299.05,-170.67,137.92,14.73,148.05,111.43,94.86,-3.13,,0.71,신규상장,주권,"영화, 비디오물, 방송프로그램 제작 및 배급업",미래에셋증권 주식회사,5150550,39000.0,50700.0
삼기이브이,419050,2023-02-03,74245592.0,38299560.0,1207693.0,116861286.0,7424283.0,-215679.0,1708593.0,106.55,-0.39,-0.88,10.88,48.42,11000,39072407,,2.09,106.39,87.33,94.94,176.17,538.49,456.58,510.51,적전,-0.18,279.23,20.5,40.35,6.96,28.06,2.12,신규상장,주권,자동차 신품 부품 제조업,대신증권(주),14299060,22000.0,26850.0
오브젠,417860,2023-01-30,11329319.0,10453313.0,1540270.0,20074986.0,-3145268.0,-3245306.0,-4899570.0,1193.29,-27.67,-193.1,-12.6,7.73,18000,13967208,,-0.84,-6.58,-9.61,-9.61,-64.75,32.89,21.63,18.36,적확,-16.17,225.75,78.45,454.67,-54.57,,1.71,신규상장,주권,소프트웨어 개발 및 공급업,한국투자증권(주),3879775,36000.0,46800.0
미래반도체,254490,2023-01-27,93093681.0,54013590.0,1073000.0,328046447.0,19607546.0,14765589.0,-43173738.0,138.21,23.38,46.63,6.02,41.98,6000,21600000,,2.37,180.42,187.62,72.19,61.17,50.28,232.69,228.1,269.51,4.5,207.19,5.0,110.04,29.22,13.42,5.2,신규상장,주권,기타 전문 도매업,신한투자증권 주식회사,14438000,12000.0,15600.0
티이엠씨,425040,2023-01-19,88933235.0,52491570.0,2524336.0,88323515.0,12367819.0,10386015.0,-9010147.0,144.04,14.27,39.5,17.36,40.98,28000,50400000,,2.64,56.95,54.26,67.9,125.69,31.75,41.43,41.38,75.59,11.76,120.99,14.39,117.8,23.44,4.61,1.21,신규상장,주권,기초 화학물질 제조업,한화투자증권(주),10623114,27950.0,28100.0
한주라이트메탈,198940,2023-01-19,159435523.0,123652713.0,7278193.0,189023781.0,7075704.0,4031354.0,-16564912.0,345.56,2.77,13.92,8.93,22.44,3100,20150000,,5.45,21.12,49.72,19.06,61.75,13.89,-16.9,-4.29,150.82,2.13,90.51,10.84,238.41,1.65,8.82,1.3,신규상장,주권,1차 비철금속 제조업,"미래에셋증권 주식회사,현대차증권주식회사",19435815,4115.0,5340.0
바이오노트,377740,2022-12-22,995141900.0,121424761.0,46778024.0,620046067.0,471364335.0,396366331.0,536692800.0,13.9,46.26,56.47,76.68,87.8,9000,93600000,,0.0,39.6,11.84,20.11,66.32,-1.78,-15.68,-15.24,-4.27,63.93,545.62,414.58,13.44,10652.54,10.5,0.73,신규상장,주권,의료용품 및 기타 의약 관련제품 제조업,"한국투자증권(주),엔에이치투자증권(주)",101876048,9980.0,10650.0
SAMG엔터,419530,2022-12-06,38483916.0,61159788.0,1335200.0,38374162.0,3358685.0,-11086849.0,-3291890.0,-269.71,-31.3,64.35,15.95,-58.92,17000,23800000,,2.88,18.91,15.05,8.68,92.46,62.88,-427.19,102.24,적확,-28.89,128.51,25.01,-81.22,1.77,55.48,1.08,신규상장,주권,"영화, 비디오물, 방송프로그램 제작 및 배급업",엔에이치투자증권(주),8590930,18050.0,23450.0
펨트론,168360,2022-11-24,56807486.0,45350286.0,4772071.0,57736502.0,4164927.0,4490718.0,8041553.0,395.82,9.69,50.93,10.08,20.17,8000,8800000,,2.71,58.17,12.25,23.43,85.44,32.54,698.05,250.68,1146.70,7.78,92.11,14.9,287.6,15.22,3.79,1.25,신규상장,주권,특수 목적용 기계 제조업,하나증권주식회사,10644142,9820.0,9210.0
인벤티지랩,389470,2022-11-22,31724287.0,5233092.0,3567074.0,1861755.0,-9557906.0,-9271261.0,-8512504.0,19.75,-34.3,-42.92,-414.33,83.5,12000,12480000,,-0.51,42.02,81.54,80.96,58.55,250.13,72.62,74.57,적축,-497.99,922.57,801.18,9.07,-86.52,52.17,0.07,신규상장,주권,의약품 제조업,한국투자증권(주),8205348,12750.0,14950.0
엔젯,419080,2022-11-18,28457400.0,7338654.0,4178892.0,10054924.0,1767080.0,-29867129.0,1818307.0,34.75,-132.91,-634.69,23.06,74.21,10000,21000000,,1.77,72.61,161.53,174.86,-280.39,202.03,-222.55,-342.06,적전,-297.04,347.72,299.96,27.39,10.56,11.24,0.45,신규상장,주권,특수 목적용 기계 제조업,미래에셋증권 주식회사,10517817,9000.0,10850.0
티에프이,425420,2022-11-17,49037324.0,19115485.0,900000.0,66421400.0,9062450.0,8643934.0,8279851.0,63.88,20.16,33.36,14.99,61.02,10500,28350000,,1.05,33.59,83.1,77.28,36.7,34.08,12.39,11.98,39.53,13.01,164.26,86.78,53.3,49.37,27.34,1.55,신규상장,주권,전자부품 제조업,IBK투자증권(주),11381000,10000.0,9260.0
티쓰리,204610,2022-11-17,72425539.0,11084632.0,4769680.0,23128163.0,10494520.0,10980704.0,11688476.0,18.07,17.02,19.74,46.21,84.7,1700,28900000,,0.39,27.87,93.99,44.79,22.86,7.0,112.96,101.91,336.47,47.48,439.39,237.93,14.69,39.64,,0.36,신규상장,주권,소프트웨어 개발 및 공급업,미래에셋증권 주식회사,65587752,2445.0,2085.0
윤성에프앤씨,372170,2022-11-14,148233865.0,115821807.0,628350.0,75893660.0,-4608546.0,-2915367.0,-20884617.0,357.34,-2.5,-9.46,-3.69,21.87,49000,97743338,,-16.72,74.25,186.19,79.49,10.84,-41.11,-124.29,-113.97,적전,-3.84,95.21,1.42,304.62,-7.71,2.99,0.65,신규상장,주권,"구조용 금속제품, 탱크 및 증기발생기 제조업",미래에셋증권 주식회사,7979048,44100.0,40450.0
디티앤씨알오,383930,2022-11-11,32887676.0,14882103.0,2436628.0,32748665.0,4907063.0,4327534.0,6055996.0,82.65,16.44,62.73,22.83,54.75,17000,23800000,,0.65,66.54,46.21,18.01,-527.93,63.02,1195.33,251.59,흑전,13.21,129.73,52.81,74.39,41.1,53.06,1.24,신규상장,주권,자연과학 및 공학 연구개발업,키움증권(주),6315256,15700.0,13850.0
뉴로메카,348340,2022-11-04,24361433.0,8722205.0,831042.0,7333081.0,-2743394.0,-6667638.0,-669878.0,55.77,-36.52,-74.12,-25.72,64.2,16900,25350000,,-1.92,100.43,156.86,297.9,564.81,80.37,-65.83,-73.4,적축,-90.93,259.95,188.66,53.92,-5.15,2.16,0.4,신규상장,주권,특수 목적용 기계 제조업,대신증권(주),9855420,24250.0,21050.0
제이아이테크,417500,2022-11-04,35164387.0,11850178.0,632445.0,20497336.0,5658097.0,4732681.0,4303747.0,50.83,15.65,26.46,32.62,66.3,16000,27661920,,0.65,38.81,79.44,30.68,87.09,3.04,43.38,45.29,79.62,23.09,182.04,95.32,47.68,9.36,6.03,0.68,신규상장,주권,기타 화학제품 제조업,미래에셋증권 주식회사,8196186,14400.0,11900.0
큐알티,405100,2022-11-02,63911051.0,26795644.0,1326540.0,70488998.0,18667056.0,15478142.0,16666572.0,72.2,29.13,53.16,36.69,58.07,44000,43582000,,0.31,50.93,81.16,94.97,75.76,32.0,106.28,43.96,184.85,21.96,157.58,53.86,46.86,47.96,69.75,1.33,신규상장,주권,"그외 기타 전문, 과학 및 기술 서비스업",미래에셋증권 주식회사,3984556,43000.0,38350.0
저스템,417840,2022-10-28,43852544.0,21236761.0,2447500.0,44826695.0,7193676.0,5731882.0,4994592.0,93.9,15.55,30.93,17.07,51.57,10500,18060000,,1.32,46.82,-31.03,-38.21,56.48,-1.65,-7.56,-7.25,6.85,12.79,146.77,58.99,55.8,67.88,13.31,1.22,신규상장,주권,특수 목적용 기계 제조업,미래에셋증권 주식회사,6941600,11000.0,12400.0
산돌,419120,2022-10-27,31110382.0,12546789.0,37422.0,11197397.0,4529094.0,172928.0,4856197.0,67.59,0.62,1.32,43.46,59.67,18800,28012000,,1.23,25.11,-32.07,-34.14,143.72,13.35,30.87,31.31,-90.88,1.54,141.72,111.09,35.15,7.15,,0.4,신규상장,주권,소프트웨어 개발 및 공급업,KB증권(주),7671826,24150.0,20850.0
플라즈맵,405000,2022-10-21,25378700.0,14970318.0,3856836.0,6348540.0,-10643870.0,-21682344.0,-9189261.0,143.83,-117.11,105.1,-154.61,41.01,7000,12397000,,-0.98,117.85,184.41,213.49,-120.15,114.78,59.17,66.56,적확,-341.53,273.44,187.51,62.32,-3.73,3.51,0.34,신규상장,주권,의료용 기기 제조업,미래에셋증권 주식회사,17706940,8420.0,6700.0
핀텔,291810,2022-10-20,10386345.0,5641310.0,3948798.0,8209143.0,-853260.0,-2416436.0,-230424.0,118.89,-37.66,-94.31,-6.54,45.69,8900,17800000,,-12.53,324.64,616.21,604.22,1150.83,68.0,101721.0,-298.79,적확,-29.44,359.86,321.84,50.78,-1.13,113.19,1.28,신규상장,주권,소프트웨어 개발 및 공급업,대신증권(주),9957412,15300.0,10850.0
샤페론,378800,2022-10-19,27025452.0,2626024.0,9701186.0,522840.0,-10466259.0,-23833245.0,-6832781.0,10.76,-81.41,166.7,-1913.53,90.28,5000,13735000,,-0.01,-14.28,-15.6,-16.29,-146.04,,54.59,56.56,적축,-4558.42,2089.52,2060.81,4.99,-1667.13,4.98,0.02,신규상장,주권,기초 의약물질 제조업,엔에이치투자증권(주),22231781,9000.0,8630.0
탑머티리얼,360070,2022-10-18,31942462.0,5739257.0,2975505.0,31904393.0,4819979.0,4284441.0,3193047.0,21.9,20.53,26.77,16.23,82.03,30000,60000000,,0.59,226.11,368.55,469.36,351.2,375.46,928.17,603.01,1233.42,13.43,531.4,359.54,14.17,84.4,87.45,1.53,신규상장,주권,일차전지 및 이차전지 제조업,한국투자증권(주),7984343,33500.0,37000.0
에스비비테크,389500,2022-10-17,17631330.0,11035810.0,2345245.0,6779379.0,-2227144.0,-2815924.0,-1715607.0,167.32,-17.26,-67.25,-20.14,37.41,12400,22320000,,-4.93,17.62,65.31,90.21,270.81,2.61,-14.88,-30.02,적축,-41.54,115.52,66.59,95.84,-3.65,4.82,0.42,신규상장,주권,일반 목적용 기계 제조업,미래에셋증권 주식회사,5944490,23900.0,31050.0
오에스피,368970,2022-10-14,18495736.0,3600666.0,3458960.0,15694538.0,2803559.0,2876300.0,1279863.0,24.17,16.78,21.4,20.46,80.53,8400,17270400,,0.62,17.21,15.79,-2.89,24.23,0.82,-28.75,-27.44,-13.19,18.33,372.0,205.96,23.23,56.1,19.93,0.92,신규상장,주권,기타 식품 제조업,대신증권(주),9346160,10850.0,10050.0
이노룰스,296640,2022-10-07,17530505.0,4482222.0,1922655.0,15979685.0,3314891.0,3009484.0,2473444.0,34.35,19.71,29.9,22.21,74.43,12500,14434300,,0.45,34.8,46.55,25.45,84.24,50.27,179.05,154.64,89.12,18.83,303.4,165.09,28.52,48.04,,1.05,신규상장,주권,소프트웨어 개발 및 공급업,엔에이치투자증권(주),5141760,13150.0,15850.0
모델솔루션,417970,2022-10-07,48265607.0,21231656.0,2683350.0,60078878.0,8526295.0,7086006.0,9397543.0,78.54,15.64,28.47,17.97,56.01,27000,27000000,,1.13,14.0,23.04,21.08,18.82,9.2,24.1,15.36,445.41,11.79,299.72,166.56,33.52,35.73,17.19,1.33,신규상장,주권,특수 목적용 기계 제조업,KB증권(주),6396700,29500.0,30900.0
더블유씨피,393890,2022-09-30,630017334.0,224259732.0,12350084.0,185498674.0,40855746.0,-9963987.0,85749001.0,55.27,-1.73,-3.5,39.3,64.4,60000,432000000,,1.76,20.42,73.15,71.92,148.38,65.81,318.58,99.72,적축,-5.37,167.11,76.44,31.62,4.27,9.9,0.32,신규상장,주권,일차전지 및 이차전지 제조업,"신한투자증권 주식회사,KB증권(주)",33696518,54000.0,41700.0
알피바이오,314140,2022-09-29,143736979.0,78810010.0,3293971.0,114963993.0,5879847.0,3812561.0,9459383.0,121.38,2.78,6.05,9.64,45.17,13000,15600000,,3.64,10.19,21.02,10.82,6.38,17.4,41.44,29.31,-17.40,3.32,69.28,10.23,116.21,6.0,5.9,0.84,신규상장,주권,의약품 제조업,한국투자증권(주),7823942,19300.0,18300.0
오픈엣지테크놀로지,394280,2022-09-26,35622156.0,13489679.0,1653305.0,5185868.0,-10335235.0,-13746427.0,-10759037.0,60.95,-59.44,765.91,-193.45,62.13,10000,33850000,,-0.54,235.07,363.99,358.5,-186.04,376.36,32.38,32.57,적축,-265.07,330.88,299.57,36.15,-167.89,,0.22,신규상장,주권,소프트웨어 개발 및 공급업,삼성증권(주),20870474,10800.0,10050.0
대성하이텍,129920,2022-08-22,142765104.0,111783427.0,900000.0,102716207.0,11691679.0,7457426.0,894409.0,360.8,5.47,27.54,14.27,21.7,9000,29903040,,4.66,9.91,20.74,14.48,33.71,41.38,-260.08,-425.77,흑전,7.26,97.93,9.04,287.75,5.26,2.43,0.75,신규상장,주권,특수 목적용 기계 제조업,신한투자증권 주식회사,13278546,13000.0,14600.0
