회사명,종목코드,상장일,총자산(요약재무),부채(요약재무),자본금(요약재무),매출액(영업수익),영업이익,당기순이익(포괄손익계산서),영업활동으로인한현금흐름,부채비율(표준재무),ROA(표준재무),ROE(표준재무),EBITDA마진율(표준재무),자기자본비율(표준재무),공모가 (원),공모금액 (천원),Unnamed: 17,총차입금/EBITDA(표준재무),총자산증가율(표준재무),유동자산증가율(표준재무),당좌자산증가율(표준재무),자기자본증가율(표준재무),매출액(영업수익)증가율(표준재무),영업이익증가율(보고서기재)(표준재무),EBITDA증가율(표준재무),순이익증가율(표준재무),순이익률(표준재무),유동비율(표준재무),현금비율(표준재무),유동부채비율(표준재무),이자보상배율(표준재무),재고자산회전율(표준재무),총자산회전율(표준재무),상장유형,증권구분,업종,상장주선인/,최초상장주식수 (주),상장일 시초가,상장일 종가
명인제약,317450,2025-10-01,572923047.0,50197151.0,5600000.0,269585960.0,90057626.0,66152329.0,78209750.0,9.6,12.14,13.38,37.55,91.24,58000,197200000,,0.02,10.91,25.89,30.18,12.24,11.17,9.83,8.87,-9.45,24.54,922.87,618.33,7.87,301.89,4.62,0.49,신규상장,주권,의약품 제조업,KB증권(주),14600000,119800.0,121900.0
에스투더블유,488280,2025-09-19,14895906.0,10382556.0,2183191.0,9611558.0,-4270278.0,-14477574.0,-3078252.0,230.04,-92.89,116.64,-33.9,30.3,13200,20856000,,-0.48,-8.48,-3.87,-3.22,-115.38,53.37,-21.91,-27.56,적확,-150.63,156.3,128.28,155.37,-1.65,,0.62,신규상장,주권,소프트웨어 개발 및 공급업,대신증권(주),10587956,26000.0,23950.0
그래피,318060,2025-08-25,21987063.0,18158942.0,4514254.0,16148804.0,-9194129.0,-32688157.0,-9600635.0,474.36,-147.86,240.45,-51.36,17.41,15000,29250000,,-1.65,-1.09,2.9,-5.61,-112.34,54.21,31.39,35.46,적확,-202.42,62.55,19.69,465.84,-2.42,9.32,0.73,신규상장,주권,합성고무 및 플라스틱 물질 제조업,"신한투자증권 주식회사,KB증권(주)",11038777,11600.0,11260.0
한라캐스트,125490,2025-08-20,74766951.0,86182560.0,2175955.0,49244987.0,3227772.0,5292408.0,4250062.0,-754.95,7.51,-37.81,11.2,-15.27,5800,43500000,,5.71,13.03,,,,14.67,-29.26,-18.92,흑전,10.75,26.11,5.44,-633.82,0.65,9.55,0.7,신규상장,주권,자동차 신품 부품 제조업,대신증권(주),36502352,7840.0,5920.0
삼양컴텍,484590,2025-08-18,161422348.0,108012682.0,16000000.0,141594664.0,18058662.0,16491769.0,-6936668.0,202.23,10.38,36.45,17.72,33.09,7700,111650000,,2.51,3.31,,,,70.52,161.14,107.21,78.75,11.65,71.07,3.11,172.0,7.79,3.4,0.89,신규상장,주권,무기 및 총포탄 제조업,"신한투자증권 주식회사,엔에이치투자증권(주)",41210450,16010.0,16640.0
지투지바이오,456160,2025-08-14,25345036.0,144884126.0,744266.0,768931.0,-10763508.0,-83254627.0,-7968178.0,-121.2,-292.67,105.5,-1161.34,-471.65,58000,52200000,,-1.77,-19.66,-32.5,-32.5,212.17,3.93,-18.11,-21.95,적확,-10827.32,7.58,7.2,-118.56,-4.4,,0.03,신규상장,주권,의약품 제조업,미래에셋증권 주식회사,5365694,86500.0,93800.0
아이티켐,309710,2025-08-07,97125905.0,52259685.0,5261500.0,48801699.0,5093212.0,10582407.0,-1458867.0,116.48,13.19,129.08,13.29,46.19,16100,32200000,,6.44,53.25,,,,11.26,201.37,74.07,흑전,21.68,96.58,13.27,78.11,1.09,3.6,0.61,신규상장,주권,기초 의약물질 제조업,KB증권(주),12583001,38800.0,31050.0
대한조선,439260,2025-08-01,1349033352.0,895909626.0,152631560.0,1074619380.0,158186482.0,172295039.0,158397688.0,197.72,15.94,55.17,15.86,33.59,50000,500000000,,1.92,65.96,111.53,201.94,164.21,31.63,340.3,262.71,349.37,16.03,108.58,43.53,183.62,7.41,29.68,0.99,신규상장,주권,선박 및 보트 건조업,"신영증권(주),KB증권(주),엔에이치투자증권(주)",38526312,89100.0,92400.0
프로티나,468530,2025-07-29,17971370.0,2212849.0,923936.0,2300721.0,-9121213.0,-5734135.0,-6080453.0,14.04,-27.32,31.22,-350.69,87.69,14000,21000000,,-0.13,-25.15,-38.99,-38.16,-130.02,297.96,25.71,24.93,적축,-249.23,1537.05,1360.29,5.52,-2.99,9.26,0.11,신규상장,주권,자연과학 및 공학 연구개발업,한국투자증권(주),10784365,23750.0,17550.0
엔알비,475230,2025-07-28,135739381.0,96010543.0,4139760.0,52801061.0,6318858.0,2103685.0,-2611715.0,241.66,1.6,12.8,45.1,29.27,21000,44100000,,2.62,6.23,-48.05,-72.53,-680.15,2.46,-47.98,8.9,39.37,3.98,18.84,5.01,185.46,1.31,12.43,0.4,신규상장,주권,기타 금속 가공제품 제조업,엔에이치투자증권(주),10427139,21300.0,16660.0
